Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),67F1E0:Surface Inside Face Temperature [C](Daily),67F1E0:Surface Outside Face Temperature [C](Daily),67F1E0:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),67F1E0:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),1170EB:Surface Inside Face Temperature [C](Daily),1170EB:Surface Outside Face Temperature [C](Daily),1170EB:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),1170EB:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),5424C7:Surface Inside Face Temperature [C](Daily),5424C7:Surface Outside Face Temperature [C](Daily),5424C7:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),5424C7:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),878904:Surface Inside Face Temperature [C](Daily),878904:Surface Outside Face Temperature [C](Daily),878904:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),878904:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),B3FCF3:Surface Inside Face Temperature [C](Daily),B3FCF3:Surface Outside Face Temperature [C](Daily),B3FCF3:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),B3FCF3:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),E9E959:Surface Inside Face Temperature [C](Daily),E9E959:Surface Outside Face Temperature [C](Daily),E9E959:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),E9E959:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),AEA7C2:Surface Inside Face Temperature [C](Daily),AEA7C2:Surface Outside Face Temperature [C](Daily),AEA7C2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),AEA7C2:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),800C25:Surface Inside Face Temperature [C](Daily),800C25:Surface Outside Face Temperature [C](Daily),800C25:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),800C25:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),52C6BE:Surface Inside Face Temperature [C](Daily),52C6BE:Surface Outside Face Temperature [C](Daily),52C6BE:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),6401E7:Surface Inside Face Temperature [C](Daily),6401E7:Surface Outside Face Temperature [C](Daily),6401E7:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),6401E7:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),234D00:Surface Inside Face Temperature [C](Daily),234D00:Surface Outside Face Temperature [C](Daily),234D00:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),234D00:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),A53C53:Surface Inside Face Temperature [C](Daily),A53C53:Surface Outside Face Temperature [C](Daily),A53C53:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),A53C53:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),714A69:Surface Inside Face Temperature [C](Daily),714A69:Surface Outside Face Temperature [C](Daily),714A69:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),714A69:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  06:00:00,16.990000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.53165344495088,17.571761183322459,-4.689773360197508,-5.054666086523404 
 07/21  07:00:00,17.769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.490347425516164,17.51443303856864,1.7223531554952163,0.2527276029626766 
 07/21  08:00:00,19.783,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85707721671211,17.84650357239173,26.501107958470997,23.204142403769479 
 07/21  09:00:00,22.557,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.612003868180446,18.619473039330008,35.40837839562732,34.996385581266299 
 07/21  10:00:00,25.255000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.541249597605427,19.505819693341097,36.63202161605912,36.726662249710148 
 07/21  11:00:00,27.649,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.473943733768324,20.386355917547517,35.307669928275249,35.61079624520721 
 07/21  12:00:00,29.454,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3201571495858,21.206725173001069,31.811632117207254,32.28942664652759 
 07/21  13:00:00,30.784,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.043871481907403,21.92015835697095,26.483122395060059,27.13608800495093 
 07/21  14:00:00,31.715,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6241876379028,22.50087205276849,20.866698752262086,21.557925454364449 
 07/21  15:00:00,32.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.055788115255795,22.945665394562295,15.102021878919306,15.920614189602892 
 07/21  16:00:00,31.43,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2941748532254,23.213404657176146,6.061912125367951,7.381610053927588 
 07/21  17:00:00,30.328,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.265539005237039,23.22503813942137,-5.35039140132537,-3.8483007993957485 
 07/21  18:00:00,28.922,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.924455455697954,22.9249650122809,-20.22841754033597,-17.95106100760166 
 07/21  19:00:00,26.927,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.192841650694669,22.203368388720255,-35.10795559997406,-34.53191413303821 
 07/21  20:00:00,25.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.374382784023355,21.387776509986034,-30.77328234579805,-31.453556027304168 
 07/21  21:00:00,23.544999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67834332533314,20.696945970471839,-25.900707526805005,-26.48737715817471 
 07/21  22:00:00,22.177,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09035840766861,20.113706760083688,-22.218845101951687,-22.61069676770341 
 07/21  23:00:00,20.999000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.579955677746818,19.608022205370295,-19.339697878700986,-19.718052063128807 
 07/21  24:00:00,19.935000000000004,0.0,9.,0.0,30412800.0,0.0,-30412800.0,20.61754115174274,26.15594171547028,0.9499567628819182,20.975986832930219,20.55225573477816,25.404630798807898,0.9391854859511915,20.628503047455348,20.562041864576398,25.55901327529507,0.8797936426966374,14.743250056361477,20.60370751674144,26.127307083288036,0.8920079979735132,20.972666873214274,20.509604958426239,24.89506905218839,0.8915489807088096,20.254242193307154,20.54949356339503,25.475811867416828,0.8777496910279452,20.597306943918548,20.5618153168122,25.417745829497805,0.9230138017185666,14.748862070414424,20.455668348827144,24.191106467257844,0.839403236109073,14.505213412522233,18.639985462770978,18.0,0.889966602072915,20.50374755490229,28.119740114444246,0.6141375010047802,21.42357709585015,20.354699754806889,24.769728588221125,0.6275464070621021,14.99343264342272,20.339703265274595,23.941869671111467,0.6463970312891599,14.500604615308904,20.56575313857448,28.45950697621004,0.6458344819464469,20.440539045665934,19.137464189323045,19.171047775543625,-16.782311885762377,-17.063091298600339 
 01/01  01:00:00,25.025,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89910901546451,19.908181530792697,-5.185851980187403,-4.942487291050508 
 01/01  02:00:00,24.687499999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.755062304597069,19.764699267830165,-6.24183249966616,-6.247005990738582 
 01/01  03:00:00,24.675000000000006,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59493925491841,19.613519261079085,-6.200324600641122,-6.220696745686988 
 01/01  04:00:00,24.5375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44827654380207,19.47382695386303,-5.075126906086991,-5.300864549947438 
 01/01  05:00:00,24.4375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34739375297449,19.373477702669484,-3.3130505556133369,-3.4933468152806137 
 01/01  06:00:00,24.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.287276138063864,19.31071036926683,-1.7618129275014545,-1.9961206225858633 
 01/01  07:00:00,24.4625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.274668091362196,19.292496695615897,0.3676634377336918,0.05257197425523946 
 01/01  08:00:00,24.8125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.357290948496617,19.36214117121131,6.142573295749351,5.203915701837854 
 01/01  09:00:00,25.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.601635384196539,19.58695363578557,12.262061037556336,11.531372435681075 
 01/01  10:00:00,25.7125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.984182215002176,19.94979083150111,17.066572659313125,16.641016087154527 
